wallet,loss,wallet_share,loss_share
W46a8f76a244e,-142.4436900181636,0.17002881844380405,0.9924054059322402
Wde743b7f5b31,-141.8779555813744,0.1707492795389049,0.9924491848716946
W268af4937466,-140.84906655152736,0.17146974063400577,0.9924926463293362
W5d9eeae57ff8,-139.22124566555067,0.17219020172910662,0.9925356054942028
W4854fb55a02c,-137.71097756951394,0.1729106628242075,0.9925780986392763
W1979dc55736c,-136.84852256469134,0.17363112391930835,0.9926203256586835
We272f4859944,-135.4134798463187,0.17435158501440923,0.9926621098704113
W62b81f7c8d22,-134.39252220225606,0.17507204610951008,0.9927035790476948
W507894340d6b,-133.90663028611016,0.17579250720461095,0.9927448982944785
W2c43e7e99e38,-133.87392381579056,0.1765129682997118,0.9927862074491054
W8428c6a90da3,-133.40437291991526,0.17723342939481268,0.9928273717155419
W3af721818476,-132.85515135941372,0.17795389048991356,0.9928683665100028
W9385ad76fdf1,-132.38183563587097,0.1786743515850144,0.9929092152545692
Weadbae71b38b,-132.28966220228764,0.17939481268011528,0.9929500355574011
Wc5ed8f147d96,-131.99563146150456,0.18011527377521613,0.9929907651318747
Wdf18559e5ecc,-131.33065799557517,0.180835734870317,0.9930312895170855
W89db0c276d55,-131.03425649195904,0.18155619596541786,0.9930717224423974
Wc1d663fea762,-130.43086447571477,0.18227665706051874,0.9931119691804863
Wad78252896d9,-130.15895874737907,0.1829971181556196,0.9931521320172787
Wd21ec8db3a80,-130.0629231001688,0.18371757925072046,0.9931922652205826
W2fca30555c8a,-129.11008672180384,0.1844380403458213,0.9932321044094572
W20f940a49700,-129.09584347807308,0.1851585014409222,0.9932719392033283
Wdcce1de38cb7,-129.07585593431196,0.18587896253602307,0.9933117678296913
W5c96bed92d00,-128.9796718315803,0.18659942363112392,0.993351566776757
Wf3d70f8c352a,-128.55605506729643,0.1873198847262248,0.9933912350094167
W902a8b87e3cf,-128.05497859016464,0.18804034582132564,0.9934307486261132
W605394d6c7bc,-126.29037858335991,0.18876080691642652,0.9934697177444306
Wed1d9a778e85,-126.19338908912714,0.18948126801152737,0.9935086569349331
Wa87caacdbb70,-125.4381103173944,0.19020172910662825,0.9935473630708819
Wdd668d33d7a2,-124.57701649685896,0.1909221902017291,0.993585803501182
W3754a4a7cd7d,-123.88136077335002,0.19164265129682997,0.9936240292746689
W099020f22157,-123.65961175335686,0.19236311239193082,0.993662186623594
W9568e09cffdd,-123.49887252843007,0.1930835734870317,0.9937002943736032
Wa088bdddae8e,-123.32256983368461,0.19380403458213258,0.993738347722314
W77aa0a7edfc6,-120.6245575458182,0.19452449567723343,0.9937755685518634
W77b5e7174cf4,-119.64112965832464,0.1952449567723343,0.9938124859274354
W5a9fd0205c5a,-119.0626294044041,0.19596541786743515,0.9938492247965756
W86684c499372,-118.9133566514356,0.19668587896253603,0.9938859176049816
Wd85bdd223d99,-117.9896690626083,0.19740634005763688,0.9939223253933301
W7f9ebfc2f4aa,-117.94322637554993,0.19812680115273776,0.9939587188509706
W68a6259838de,-117.47436111501347,0.1988472622478386,0.9939949676319855
W0c1717abc239,-115.89441227734049,0.19956772334293948,0.9940307288919882
W43e0a0e71b7b,-115.73126355753159,0.20028818443804033,0.9940664398095829
W89ea0151b80c,-115.65313657783562,0.2010086455331412,0.9941021266197234
W3e3f52eda380,-113.33225214995849,0.2017291066282421,0.9941370972801391
Wfe7d411a0ab5,-110.29375787317424,0.20244956772334294,0.9941711303596851
Wcf4de765694a,-110.1706613734857,0.20317002881844382,0.9942051254556404
W753f7e1cb808,-109.4651875804866,0.20389048991354466,0.9942389028652444
W11dd58578da5,-108.71384648319145,0.20461095100864554,0.9942724484353335
W66af72b27d27,-108.31691511446479,0.2053314121037464,0.994305871525265
W6e0f526f3d3f,-108.18157073440398,0.20605187319884727,0.9943392528523066
W5d8edfef30cd,-107.22766754389744,0.20677233429394812,0.9943723398357355
W6b97cbd43920,-107.22600058203989,0.207492795389049,0.9944054263047939
W40d43f2bd3ad,-106.74604835327538,0.20821325648414984,0.9944383646761478
W921af5b9a135,-106.06858740561097,0.20893371757925072,0.9944710940050066
W460d7a3955de,-105.97073803001695,0.20965417867435157,0.994503793140719
Wdf1599e07a11,-104.93385232807928,0.21037463976945245,0.9945361723271048
W55aa64b78e3b,-104.91093505946333,0.21109510086455333,0.9945685444419641
Wffc15b16453d,-103.53850305697415,0.21181556195965417,0.9946004930687817
Wf1c767bedacb,-103.08670070232894,0.21253602305475505,0.9946323022840339
Wf798e35544d9,-100.9459144514858,0.2132564841498559,0.9946634509220224
We9f96b944183,-100.85793240202418,0.21397694524495678,0.9946945724116013
W1419cbf9ead4,-100.83946710558277,0.21469740634005763,0.9947256882033882
