section,item,variant,value,lo,hi,level,n,b,seed,p1_reference,p1_source,matches_p1
f5_bp_map,BTC 75-90 <=2d,p1|index,3.175963463727404,,,,1761.0,0,,,,
f5_bp_map,BTC 90-100 <=2d,p1|index,15.564990127474395,,,,1580.0,0,,,,
f5_bp_map,BTC 00-10 2-7d,p1|index,0.9701366508135648,,,,7043.0,0,,,,
f5_bp_map,BTC 10-25 2-7d,p1|index,1.1789628409266384,,,,9218.0,0,,,,
f5_bp_map,BTC 25-40 2-7d,p1|index,2.0486847682810536,,,,6588.0,0,,,,
f5_bp_map,BTC 40-60 2-7d,p1|index,2.7990587870155683,,,,8048.0,0,,,,
f5_bp_map,BTC 60-75 2-7d,p1|index,4.496522283565531,,,,2430.0,0,,,,
f5_bp_map,BTC 75-90 2-7d,p1|index,8.732895908184657,,,,1447.0,0,,,,
f5_bp_map,BTC 90-100 2-7d,p1|index,14.79173732487405,,,,645.0,0,,,,
f5_bp_map,BTC 00-10 7-30d,p1|index,0.6425863493867358,,,,6995.0,0,,,,
f5_bp_map,BTC 10-25 7-30d,p1|index,1.5921324261420586,,,,10733.0,0,,,,
f5_bp_map,BTC 25-40 7-30d,p1|index,2.9306230532548194,,,,9767.0,0,,,,
f5_bp_map,BTC 40-60 7-30d,p1|index,4.282739458450579,,,,10999.0,0,,,,
f5_bp_map,BTC 60-75 7-30d,p1|index,1.284075486589379,,,,3304.0,0,,,,
